road_id	desc	length
B491	Kotmale Dam Crest-    Harangala Road	1.4
B492	Kandehandiya -    Adikarigama - Randenigala - Loggal Oya	54.4
B493	Moragahamula -    Victoriya Damtop	8.4
B494	Victoriya Damtop -    Adikarigama	2.3
B495	Edandawela -    Kahahengama	2.0
B496	Thanamalwila -    Hambegamuwa(Thanamalwila - Bodagama)	5.5
B497	51st Mile post -    Ulhitiyawa	8.04
B498	Barrier Junction -    Girandura Kotte	7.0
B499	Kirinda - Palatupana    - Yala	29.0
B500	Tissa - Akurugoda	1.1
B501	Andarawewa -    Balaluwewa( Jeya Mawatha )	52.75
B502	Manampitiya -    Aralaganwila - Maduru oya	33.0
B503	Makandura - Badalgama	4.5
B504	Maharagama - Pamunuwa    - Thalapathpitiya	2.4
B505	Phala Eriyagama -    Penideniya	0.86
B506	Nawalapitiya -    Harangala	11.52
B507	Rendapola - Ambewela	8.24
B508	Welimade - Borelanda    - Ohiya - Horton Plains 	32.47
B509	Kuttampokuna -    Galpalama	3.22
B510	Kesbewa -    Kosgashandiya	1.7
B511	Keerthibandrapura -    Naranthalawa	4.42
B512	Blackpool Ambewela    Pattipola Horton Plains	28.16
B513	Kumbukkana    Okkampitiya maligawila	15.2
B514	Internal Roads in ith    Sacred City Mahiyangana	2.35
B515	Road Parallel to    halpanu Ela	1.1
B516	Etalai - Talawila    (Jubily Mawatha)	4.7
B517	Dehiattakandiya -    Aralaganwila	21.1
B518	Sangaraja Mawatha -    Kandy	1.76
B519	Yatinuwara Veediya -    Kandy	0.6
B520	Kande Veediya - Kandy	0.11
B521	Mosque Road - Kandy	0.38
B522	Buttala - Helagama -    Okkampitiya	9.0
B523	Elpitiya By Pass	0.58
B524	Beach Road Matara(    Matara By Pass)	2.4
B525	Dikwella -    Wewurukannala	1.87
B526	Baddegama - Halpatota	1.65
B527	Bibile - Pitakumbura    - Namal Oya - Inginiyagala	60.25
B528	Bodagma - Hambegamuwa    - Kaltota	48.2
B529	Polonnaruwa - New    Town Road	3.6
B530	Udahamulla -    Thalapathpitiya	2.06
B531	Parliament Drive	0.72
B532	Approach Road to Sri    Jayawardenepura Parliament	0.43
B533	Pelawatta Access Road	0.83
B534	Nawala - Pagoda Link    Road	0.27
B535	Nilwala By pass 	1.83
B536	Kamburupitiya -    Kirinda	9.2
B537	Barigama - Halloluwa	5.76
B538	Kahatagasdigiliya -    Rathmalgahaweewa - Kivulekade	24.32
B539	Nelundeniya - Alawwa	8.2
B540	Nelundeniya - Tuntota    - Galapitamada	14.0
B541	Thampalakamam -    Kinniya	15.6
B542	Lady Manning Drive	1.0
B543	Liyods Avenu	0.42
B544	Moragolla - Bellana	9.83
B545	Approach Road to    National Food Stores, Rathmalana(Kaldemulla Rd)	1.37
B546	New Nuga Road	1.3
B547	Kawdana Attidiya	2.5
B548	Ranna    Angunakolapelessa Vatiya	16.14
B549	Embilipitiya -    Moraketiya - Kiriibbanara - Uda Mauara	16.82
B550	Dharmashoka Mawatha	2.76
B551	Luvi Peris Mawatha	0.86
B552	Polonnaruwa -    Hingurakgoda 	13.65
B553	Old Kesbewa Road	0.85
B554	Ragama    Karagahamuna  (Ragama to Thewattha    section)	2.0
B555	Access road to    Getabaru Temple	1.7
B556	Madatugama Pubbogama    Andiyagala	13.26
B557	Circular Road -    Devinuwara	0.43
B558	Kosgoda Uragaha Road	6.0
B559	Sinhasana Road	0.82
B560	Council Avenue ,    Dehiwala	0.14
B561	Dambulla Kandalama	0.8
B562	Mirijjawila    Sooriyawewa	23.3
B563	Sooriyawewa    Padalangala	12.0
B564	Otappuwa Ihalawewa	13.8
B565	Walasmulla By Pass	0.37
B566	Nakulugamuwa    Kudawella Moraketiara 	3.9
B567	Weligaththa    Lunugamwehera	23.6
B568	Hurigaswewa    Kalankuttioya Siyambalangamuwa 	14.12
B569	Access to Gampaha    Railway Station (Queen Mary's Road)	1.16
B570	Mudungoda Gampaha    (Orutota Road)	5.15
B571	Approach Road to    College of Education - Addalaichenai	1.15
B572	Addalachenai    Alankulam	9.75
B573	Akkaraipattu   Deegavapi Ambalatharu	23.0
B574	Flood ProtectionRoad,    Akkaraipattu	2.13
B575	Kulavadi Central    Camp 	5.23
B576	By Pass Road to    Pallikkudiyiruppu village on Akkaraipattu Varapathanchenai Road	1.34
B577	Belaganwewa Hembarawa    Wilgamuwa 	11.63
B578	Dorape Hiyare	8.6
B579	Polonnaruwa - New    Town - Kaduruwela (Nidahas Swarna Jayanthoi Mawatha)	4.61
B580	Nikatupitiya Junction    to Mapakadawewa Junction	8.32
B581	Welimada By Pass	0.08
B582	Gomburuoya -    Balapokuna 	8.5
B583	Mawanella By Pass	1.9
B584	Lathpandura Molkawa	11.78
B585	Kaluwamodara    Kandevihara 	1.09
B586	Park Road Matale	0.33
B587	Sooriyawewa    Hathporuwa Moraketiya 	13.6
B588	Dedugala Dolosbage	12.41
B589	Hidellana Karapincha    (Approach Road to Tea Research Institute -Law Country Region)	4.1
B590	Udayagiri    Rajamahavihara Road	1.1
B591	Uyanwatta Polgolla    Dam 	0.6
B592	Hettimulla Deewala    Ussapitiya	12.6
B593	Pambahinna Kumbalgama    Rajawaka Kapugala	28.42
B594	Galle Port Access	5.2
B595	Hunnadeniya Rathmale    Radampola Walasgala	12.3
B596	Uswetakeiyawa    Epamulla Pamunugama	8.05
B597	 Kandawala Katunayake	4.5
B598	Seeduwa Katunayake	3.9
B599	Mabopitiya    Degalaeriya	3.71
B600	Meepitiya Ekiriyagala    Paragammana	5.1
B601	Kegalle    Siyambalapitiya Dewalegama	4.4
B602	Morontota Arandara	8.3
B603	Magmmana Kurupettha    Daigala Gurugalla	12.0
B604	Paragammana Dikella    Atugoda Wanduradeniya	14.6
B605	Alawathura Yatapana    Kotiyakumbura	6.15
B606	Katuwana -    Rukmalpitiya - Hulankanda - Heegoda	9.0
B607	Bengamuwa -    Molokgamuwa - Galdola	9.5
B608	Weera Maddumabandara    Mawatha	0.14
B609	Hiripitiya -    Galtemwewa	14.9
B610	Melsiripura - Rambe	12.7
B611	Thitthawella -    Gonagama	15.27
B612	Ramboda - Pusulpitiya	2.38
B613	Kothmale New Town    Road	1.05
B614	Battuluoya - Udappuwa    - Andimunai 	9.23
B615	Dambulla - Bakamuna -    Kalagahawela	32.48
B616	Nochchiyagama -    Kukulkatuwa	19.53
B617	Minneriya - Gal Oya	14.54
B618	Mollipothana -    Soorangal	14.0
B619	Sardhapura - Kanniya	5.0
B620	Kanniya -    Illuppaikulam	4.0
B621	Atabage -    Dunukeulla 	7.62
B622	Hungama - Thalawa -    Middeniya	25.37
B623	Medamulana -    Gonadeniya - Debokkawa	11.72
B624	Thalawa - Dambarella    - Hingura	6.6
B625	Ambakolawewa -    Morayaya - Gonadeniya	4.23
B626	Polonmaruwa -    Beliatta 	6.6
B627	Dammulla -    Weeraketiya	10.1
B628	Tangalle -    Kadurupokuna - Beliatta	8.76
B629	Walasmulla -    Julampitiya 	13.1
B630	Beliatta - Kirinda	13.87
B631	Hambantota -    Gonnoruwa - Meegahajandura	30.3
B632	Sapugaskanda Oil    Refinery Junction - Biyagama Free Trade Zone (Samurdhi Mawatha)	6.77
B633	Access Road to Ja-Ela    Interchange	2.57
B634	Access Road to    Peliyagoda Interchange	2.1
B635	Access Road to Matara	1.34
B636	Akuressa By pass	1.76
B637	Pelena-Polwatta-Denipitiya	2.1
B638	Sri Maha Bodhi    Access 	3.1
B639	Piliyandala By Pass	2.865
B640	Nainamadama-Iranawila-Chilaw	31.66
B641	Kadawatha By pass	1.8
B642	Access road to Defence Headquarters Pelawatta (From Denzil Kobbekaduwa Mawatha, Koswatta to Defence Headquarters Pelawatta)	1.255
B643	Kegalle Bypass	4.4
B644	Kelanimulla-Angoda-Koswatta	4.567
B645	Pelawatta-Akuregoda-Pothuarawa	4.074
E001	Southern Expressway	200.451
E002	Outer Circular Highway	28.867
E003	Colombo-Katunayake Expressway	25.8
E006	Andarawewa - Hambantota	16.558
